dataset,k_true,Silhouette_k,Silhouette_correct,CH Index_k,CH Index_correct,Davies-Bouldin_k,Davies-Bouldin_correct,Gap Statistic_k,Gap Statistic_correct,Dunn Index_k,Dunn Index_correct,DUD Index_k,DUD Index_correct,Hartigan_k,Hartigan_correct,KL Index_k,KL Index_correct,Jump Statistic_k,Jump Statistic_correct,McClain-Rao_k,McClain-Rao_correct,CBV_k,CBV_correct
smalln_k3_n50,3,3,1,3,1,3,1,3,1,3,1,10,0,5,0,3,1,3,1,10,0,3,1
smalln_k3_n100,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
wine,3,2,0,10,0,7,0,2,0,6,0,10,0,9,0,7,0,10,0,10,0,2,0
iris,3,2,0,3,1,2,0,8,0,4,0,10,0,8,0,8,0,8,0,10,0,2,0
"digits_[0, 1]",2,4,0,2,1,4,0,10,0,4,0,10,0,9,0,4,0,10,0,10,0,2,1
"digits_[0, 1, 2]",3,6,0,2,0,4,0,10,0,4,0,10,0,9,0,6,0,10,0,10,0,2,0
"digits_[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,9,0,2,0,9,0,10,1,2,0,10,1,9,0,9,0,10,1,10,1,3,0
breast_cancer,2,2,1,10,0,2,1,5,0,2,1,10,0,9,0,5,0,10,0,9,0,2,1
seeds,3,2,0,3,1,2,0,3,1,6,0,10,0,9,0,3,1,10,0,10,0,2,0
glass,6,3,0,3,0,7,0,7,0,4,0,10,0,9,0,3,0,10,0,7,0,2,0
yeast,10,5,0,2,0,5,0,10,1,3,0,10,1,9,0,6,0,10,1,10,1,2,0
ecoli,8,3,0,3,0,2,0,4,0,3,0,10,0,9,0,3,0,9,0,9,0,3,0
segmentation,7,2,0,4,0,2,0,2,0,2,0,10,0,9,0,4,0,10,0,10,0,3,0
olivetti_faces,40,2,0,2,0,2,0,2,0,7,0,10,0,9,0,5,0,10,0,10,0,2,0
parkinsons,2,2,1,9,0,2,1,8,0,2,1,10,0,9,0,4,0,10,0,10,0,2,1
ionosphere,2,4,0,2,1,6,0,10,0,6,0,10,0,9,0,4,0,10,0,10,0,2,1
