dataset,k_true,Silhouette_k,Silhouette_correct,CH Index_k,CH Index_correct,Davies-Bouldin_k,Davies-Bouldin_correct,Gap Statistic_k,Gap Statistic_correct,Dunn Index_k,Dunn Index_correct,DUD Index_k,DUD Index_correct,Hartigan_k,Hartigan_correct,KL Index_k,KL Index_correct,Jump Statistic_k,Jump Statistic_correct,McClain-Rao_k,McClain-Rao_correct,CBV_k,CBV_correct
blobs_k3_d2_std0.3,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
blobs_k3_d2_std0.5,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
blobs_k3_d2_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
blobs_k5_d2_std0.5,5,5,1,5,1,4,0,5,1,2,0,10,0,9,0,5,1,5,1,10,0,3,0
blobs_k5_d2_std1.0,5,4,0,5,1,4,0,5,1,2,0,10,0,9,0,4,0,4,0,10,0,3,0
blobs_k8_d2_std0.5,8,6,0,7,0,5,0,7,0,5,0,10,0,9,0,7,0,7,0,9,0,3,0
blobs_k3_d2_std1.5,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
blobs_k3_d2_std2.0,3,3,1,3,1,3,1,3,1,2,0,10,0,9,0,3,1,3,1,10,0,3,1
blobs_k3_d2_std2.5,3,3,1,3,1,3,1,3,1,2,0,10,0,9,0,7,0,3,1,10,0,3,1
blobs_k5_d2_std1.5,5,3,0,4,0,4,0,4,0,2,0,10,0,9,0,4,0,4,0,10,0,3,0
blobs_k5_d2_std2.0,5,3,0,4,0,3,0,3,0,2,0,10,0,9,0,8,0,3,0,10,0,3,0
classif_k2_info2_noise2,2,2,1,2,1,8,0,2,1,8,0,10,0,9,0,5,0,10,0,10,0,2,1
classif_k2_info2_noise5,2,2,1,2,1,9,0,2,1,2,1,10,0,9,0,4,0,10,0,10,0,2,1
classif_k2_info2_noise10,2,2,1,2,1,10,0,2,1,10,0,10,0,6,0,3,0,8,0,10,0,2,1
classif_k3_info3_noise3,3,5,0,2,0,7,0,5,0,6,0,10,0,9,0,9,0,9,0,10,0,2,0
classif_k3_info3_noise8,3,2,0,2,0,10,0,2,0,10,0,10,0,7,0,6,0,6,0,10,0,2,0
moons_noise0.05,2,8,0,10,0,9,0,4,0,6,0,10,0,9,0,6,0,10,0,10,0,2,1
moons_noise0.1,2,8,0,10,0,10,0,4,0,6,0,10,0,9,0,6,0,10,0,10,0,2,1
circles_factor0.3_noise0.05,2,6,0,10,0,10,0,2,1,6,0,10,0,9,0,5,0,10,0,10,0,2,1
circles_factor0.3_noise0.1,2,10,0,10,0,10,0,2,1,6,0,10,0,9,0,5,0,10,0,10,0,2,1
circles_factor0.5_noise0.05,2,10,0,5,0,10,0,2,1,9,0,10,0,9,0,7,0,10,0,10,0,3,0
circles_factor0.5_noise0.1,2,3,0,5,0,10,0,2,1,9,0,10,0,9,0,4,0,3,0,10,0,2,1
blobs_k3_d5_std1.0,3,3,1,3,1,3,1,3,1,2,0,10,0,9,0,3,1,3,1,3,1,2,0
blobs_k3_d30_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1,3,1,3,1,3,1,3,1
blobs_k3_d50_std1.0,3,3,1,3,1,3,1,3,1,3,1,10,0,3,1,3,1,9,0,3,1,3,1
aniso_k3_d2_stretch3.0,3,2,0,3,1,2,0,3,1,2,0,10,0,9,0,3,1,3,1,10,0,3,1
aniso_k3_d2_stretch5.0,3,2,0,9,0,2,0,2,0,2,0,10,0,9,0,3,1,9,0,10,0,3,1
aniso_k5_d2_stretch3.0,5,2,0,4,0,2,0,5,1,2,0,10,0,9,0,4,0,4,0,10,0,3,0
imbal_k3_d2_ratio3.0,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,3,1,3,1,10,0,3,1
imbal_k3_d2_ratio5.0,3,3,1,3,1,3,1,3,1,3,1,10,0,9,0,5,0,3,1,10,0,3,1
imbal_k5_d2_ratio3.0,5,4,0,5,1,4,0,5,1,2,0,10,0,9,0,5,1,5,1,9,0,2,0
varied_k3_d2_stds0.5_1.5_3.0,3,3,1,3,1,3,1,3,1,2,0,10,0,9,0,3,1,3,1,10,0,3,1
varied_k4_d2_stds0.5_1.0_2.0_3.0,4,4,1,4,1,4,1,4,1,4,1,10,0,9,0,4,1,4,1,10,0,3,0
varied_k5_d2_stds0.3_0.7_1.5_2.5_4.0,5,4,0,6,0,4,0,4,0,10,0,10,0,9,0,4,0,4,0,9,0,3,0
blobs_k10_d2_std0.5,10,8,0,9,0,8,0,9,0,4,0,10,1,9,0,9,0,9,0,10,1,4,0
blobs_k12_d2_std0.5,12,10,0,10,0,10,0,10,0,2,0,10,0,9,0,6,0,10,0,10,0,4,0
blobs_k15_d2_std0.5,15,10,0,10,0,10,0,2,0,5,0,10,0,9,0,4,0,10,0,10,0,2,0
classif_k3_info2_noise98,3,2,0,2,0,10,0,2,0,9,0,10,0,2,0,8,0,10,0,8,0,2,0
classif_k3_info5_noise95,3,2,0,2,0,10,0,3,1,8,0,10,0,2,0,4,0,10,0,10,0,2,0
classif_k5_info5_noise195,5,2,0,2,0,10,0,2,0,5,1,10,0,2,0,6,0,9,0,7,0,2,0
moons_noise0.15,2,2,1,10,0,10,0,4,0,4,0,10,0,9,0,6,0,10,0,10,0,2,1
circles_factor0.5_noise0.15,2,3,0,10,0,10,0,2,1,9,0,10,0,9,0,7,0,10,0,10,0,2,1
